번호,프로그램명,장르,채널,날짜,요일,시작시간,종료시간,방송길이,회차,개인 전체_시청시간,개인전체_시청률,4-9세 남자_시청시간,4-9세 남자_시청률,4-9세 여자_시청시간,4-9세 여자_시청률,10대 남자_시청시간,10대 남자_시청률,10대 여자_시청시간,10대 여자_시청률,20대 남자_시청시간,20대 남자_시청률,20대 여자_시청시간,20대 여자_시청률,30대 남자_시청시간,30대 남자_시청률,30대 여자_시청시간,30대 여자_시청률,40대 남자_시청시간,40대 남자_시청률,40대 여자_시청시간,40대 여자_시청률,50대 남자_시청시간,50대 남자_시청률,50대 여자_시청시간,50대 여자_시청률,60세 이상 남자_시청시간,60세 이상 남자_시청률,60세 이상 여자_시청시간,60세 이상 여자_시청률, 
791,요즘남자라이프신랑수업(본),오락,채널A,2023-12-06 0:00,수,21:29:54,22:52:18,0082:24,93회,1.005775161,1.226555074,0,0,0,0,0.777851066,0.948598861,0.851859961,1.038853611,0.491283065,0.599125689,0.267597632,0.326338576,0.676468084,0.824961078,0.59003609,0.719556208,0.42074735,0.513106524,1.025502474,1.250612773,1.009441392,1.231026088,1.355946687,1.653593521,1.379637712,1.682485015,2.104245575,2.56615314,
852,요즘남자라이프신랑수업(본),오락,채널A,2023-12-20 0:00,수,21:30:14,22:52:42,0082:28,95회,0.954929589,1.150517577,0,0,0.152690353,0.183964281,0.549622107,0.662195309,0.247146618,0.29776701,0.58574459,0.705716373,0.628305905,0.756995066,0.851731523,1.026182558,0.265270138,0.319602576,0.267576989,0.322381914,0.4644335,0.559558434,0.764055512,0.920548809,1.296424376,1.56195708,1.486185671,1.790585146,2.317610446,2.792301742,
1076,요즘남자라이프신랑수업(본),오락,채널A,2023-12-13 0:00,수,21:30:24,22:53:19,0082:55,94회,0.835280743,1.006362341,0,0,0,0,0.026514216,0.031944839,0.211635067,0.254982008,0.334529081,0.403047085,0.349243805,0.420775668,0.370151915,0.445966163,0.410796776,0.494935875,0.397744435,0.479210163,0.432913564,0.521582607,1.046073135,1.260329079,1.029699479,1.240601781,1.520105775,1.831452741,2.011329325,2.423288343,
1477,요즘육아금쪽같은내새끼(본),오락,채널A,2023-12-15 0:00,금,20:00:35,21:10:37,0070:02,172회,0.646693952,0.923848503,0,0,0.020497572,0.029282246,0,0,0,0,0.395188518,0.564555025,0.046836081,0.066908688,0.242024436,0.345749194,0.53196085,0.759944071,0.116371205,0.166244578,0.534616701,0.763738144,0.117739207,0.168198867,1.018249152,1.454641645,1.329076171,1.898680244,1.712764838,2.446806912,
1887,요즘육아금쪽같은내새끼(본),오락,채널A,2023-12-29 0:00,금,20:01:15,21:12:22,0071:07,174회,0.52625687,0.74120686,0,0,0,0,0.083833134,0.118074836,0.523096223,0.736755243,0.076206807,0.107333531,0.122573692,0.172639003,0.303992955,0.428159091,0.355577773,0.500813764,0.287755065,0.405288823,0.647242798,0.911609575,0.1520219,0.214115352,0.575203616,0.810145938,0.89113061,1.255113535,1.330505233,1.873951033,
1920,요즘육아금쪽같은내새끼(본),오락,채널A,2023-12-22 0:00,금,20:02:08,21:11:55,0069:47,173회,0.516942773,0.738489676,0.116988389,0.16712627,1.190024036,1.700034338,0.14226193,0.203231328,0.217647852,0.310925503,0.195624439,0.279463484,0.088727127,0.126753038,0.190715191,0.272450273,0.439341445,0.627630636,0.346635423,0.495193462,0.477731168,0.682473097,0.152484408,0.217834868,0.961452998,1.373504282,0.777929758,1.111328226,1.046722791,1.495318273,
797,요즘육아금쪽같은내새끼(본),오락,채널A,2023-01-27 0:00,금,20:04:42,21:27:44,0083:02,131회,1.099729006,1.324974705,0,0,0.241526988,0.290996371,0,0,0.403444809,0.486078083,0.379841615,0.4576405,0.35086139,0.422724567,0.331852487,0.399822273,0.852310068,1.0268796,0.971047609,1.169936878,1.78823731,2.154502783,1.17099084,1.410832337,1.508517401,1.817490844,1.475490039,1.777698842,2.300865634,2.77212727,
939,요즘육아금쪽같은내새끼(본),오락,채널A,2023-01-13 0:00,금,20:03:48,21:17:48,0074:00,130회,1.001528716,1.353417183,0.396942662,0.536409002,0,0,0.027724495,0.037465533,0.315814148,0.426775876,0.103644069,0.140059553,0.53472828,0.722605783,0.282176004,0.381318924,0.316451358,0.427636971,0.802082759,1.083895621,2.261471963,3.056043194,0.645915722,0.872859083,1.656671622,2.238745434,1.435437447,1.939780334,2.020243257,2.730058455,
1181,요즘육아금쪽같은내새끼(본),오락,채널A,2023-01-06 0:00,금,20:03:04,21:14:49,0071:45,129회,0.849918462,1.180442308,0,0,0.210034904,0.291715144,0.033572232,0.0466281,0.064367416,0.089399188,0.122583715,0.17025516,0.805644675,1.118950938,0.34326317,0.476754403,0.852730443,1.184347838,0.520952793,0.723545546,1.10062652,1.528647944,0.558526528,0.775731289,1.506829021,2.092818084,1.061647453,1.474510352,1.919489989,2.665958317,
1363,요즘남자라이프신랑수업(본),오락,채널A,2023-01-11 0:00,수,21:21:40,22:56:09,0094:29,48회,0.750959697,0.798893295,0.032108601,0.034158086,0,0,0.021709029,0.023094711,0.298673712,0.317737992,0.300431884,0.319608387,0.157521075,0.167575611,0.251018709,0.26704118,0.613938432,0.653125992,0.777430151,0.827053352,0.583953597,0.621227231,0.861556636,0.916549612,1.102088944,1.172435047,1.150282251,1.223704523,1.655828376,1.761519549,
1842,요즘남자라이프신랑수업(본),오락,채널A,2023-01-04 0:00,수,21:20:40,22:53:52,0093:12,47회,0.574004072,0.61720868,0,0,0,0,0.047093618,0.050638299,0.059675005,0.064166672,0.210706948,0.226566611,0.278836083,0.299823745,0.244655122,0.263070024,0.533751165,0.573925984,0.776765524,0.835231747,0.252607019,0.271620451,0.521675597,0.560941502,0.937994509,1.008596246,0.990255514,1.064790875,1.129800345,1.21483908,
962,요즘육아금쪽같은내새끼(본),오락,채널A,2023-02-03 0:00,금,20:03:23,21:17:13,0073:50,132회,0.845830128,1.143013687,0.02381999,0.032189176,0,0,0.027445841,0.037088975,0.148459713,0.200621234,0.326063984,0.440627005,0.995372596,1.345098102,0.257897836,0.348510589,0.825156573,1.11507645,0.762126325,1.029900439,0.66103032,0.893284216,0.507007097,0.685144725,1.52967947,2.067134419,1.421479928,1.920918822,1.591202039,0.964178326,
1141,요즘육아금쪽같은내새끼(본),오락,채널A,2023-02-17 0:00,금,20:03:23,21:11:42,0068:19,134회,0.741739292,1.074984481,0.022299069,0.032317491,0.136968859,0.198505593,0.057481363,0.083306323,0.556371009,0.806334795,0.519127985,0.752359399,0.207957003,0.301386961,0.437604831,0.634209901,0.547880978,0.794030403,0.613888064,0.889692847,0.821023081,1.189888523,0.230093786,0.333469255,1.26089156,1.827379073,1.261194177,1.827817648,1.441761963,0.00013652,
